#TYPE Selected.Vegetable
"Name","Count","UPC","IsRoot","Color"
"corn","5","4604","False","yellow"
"tomato","18","4928","False","red"
"cucumber","1","4167","False","green"
"carrot","10","4194","True","orange"
"radish","6","4913","True","red"
"peas","3","4701","False","green"
"turnip","10","4829","True","purple"
"potato","10","4158","True","brown"
"broccoli","3","4294","False","green"
"zucchini","17","4397","False","green"
"spinach","17","4861","False","green"
"cauliflower","7","4355","False","white"
"pepper","9","4215","False","green"
"pepper","14","4418","False","red"
"pepper","18","4472","False","yellow"
"eggplant","15","4198","False","purple"
